CATEGORY,SUB CATEGORY
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SECONDARY SCREEN,PANEL
DOUBLE DECK,PANEL
CBC-8,IDLER
SECONDARY SCREEN,PANEL
CBC-3,JAM
,
SECONDARY SCREEN,PANEL
SLURRY TANK,INSPECTION
SLURRY TANK,INSPECTION
SLURRY TANK,INSPECTION
HPGR,VPA
HPGR,VPA
HPGR,VPA
HPGR,VPA
HPGR,VPA
HPGR,VPA
HPGR,VPA
FEED HOPPER,LEVEL LOW
CBC-5,HIGH CURRENT
SECONDARY SCREEN,PANEL
CBC-2,JAM
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
CBC-3,PULLCORD
CBC-3,OVERLOAD
,
CBC-3,SKIRT RUBBER
BALL MILL,DENSITY HIGH
CBC-3,OVERLOAD
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CBC-2,INSPECTION
CBC-3,OVERLOAD
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
,
,
CBC-5,SKIRT RUBBER
HPGR,VPA
HPGR,VPA
HPGR,VPA
HPGR,VPA
HPGR,VPA
HPGR,IT BEDMASS
HPGR,IT BEDMASS
HPGR,IT BEDMASS
HPGR,IT BEDMASS
HPGR,IT BEDMASS
HPGR,IT BEDMASS
CBC-5,HIGH CURRENT
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
,
SECONDARY SCREEN,PANEL
,
,
CONE CRUSHER,TRIPPED
,
CONE CRUSHER,TRIPPED
CONE CRUSHER,TRIPPED
CBC-3,LINER PLATE
CBC-4,LINER PLATE
,
SECONDARY SCREEN,PANEL
,
CBC-3,SKIRT RUBBER
SURGE BIN,LEVEL HIGH
SECONDARY SCREEN,PANEL
,
FEED HOPPER,JAM
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
,
SILO BIN,LEVEL HIGH
CBC-5,PLATE
,
,
SILO BIN,LEVEL HIGH
CBC-3,OVERLOAD
,
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
,
CBC-3,SKIRT RUBBER
CBC-2,SKIRT RUBBER
JAW CRUSHER,JAM
JAW CRUSHER,JAM
JAW CRUSHER,JAM
CBC-8,SKIRT RUBBER
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
FEED HOPPER,LEVEL LOW
CBC-3,PULLCORD
SILO BIN,LEVEL HIGH
CBC-2,SNUB PULLEY
FEED HOPPER,LEVEL LOW
SILO BIN,LEVEL HIGH
CBC-2,INSPECTION
CBC-3,INSPECTION
CBC-4,INSPECTION
CBC-5,INSPECTION
,
SCALPING SCREEN,V-BELT
SCALPING SCREEN,V-BELT
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
IT,VPA
IT,VPA
IT,VPA
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
CBC-3,OVERLOAD
BALL MILL,JAM
BALL MILL,JAM
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
CBC-8,SKIRT RUBBER
CBC-8,SKIRT RUBBER
CBC-8,SKIRT RUBBER
FEED HOPPER,LEVEL LOW
CBC-8,SKIRT RUBBER
CBC-9,SKIRT RUBBER
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
CBC-8,SKIRT RUBBER
CBC-8,SKIRT RUBBER
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
CBC-2,INSPECTION
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CBC-2,INSPECTION
SECONDARY SCREEN,PANEL
CBC-2,INSPECTION
JAW CRUSHER,JAM
JAW CRUSHER,JAM
JAW CRUSHER,JAM
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
,
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
,
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
CBC-2,SKIRT RUBBER
,
SECONDARY SCREEN,PANEL
,
SECONDARY SCREEN,PANEL
SILO BIN,LEVEL HIGH
CBC-2,PATCH UP
JAW CRUSHER,JAM
JAW CRUSHER,JAM
JAW CRUSHER,JAM
CBC-4,PRIMARY SCREEN
CBC-4,PRIMARY SCREEN
FEED HOPPER,LEVEL LOW
CBC-2,INSPECTION
CBC-2,SKIRT RUBBER
CBC-2,SKIRT RUBBER
CBC-2,PATCH UP
CBC-2,PATCH UP
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,TRIMMED
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,REPLACEMENT
CBC-2,INSPECTION
,
CBC-2,REPLACEMENT
,
,
,
,
,
SECONDARY SCREEN,PANEL
,
,
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CBC-2,INSPECTION
SECONDARY SCREEN,PANEL
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CBC-4,LAGGING
SECONDARY SCREEN,PANEL
,
SECONDARY SCREEN,PANEL
CBC-4,SKIRT RUBBER
,
SECONDARY SCREEN,PANEL
SILO BIN,LEVEL HIGH
CBC-2,TRACKING
CBC-2,CLEANING
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
SECONDARY SCREEN,PANEL
CBC-4,SKIRT RUBBER
BP,VPA
BP,VPA
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
CBC-2,JAM
CBC-2,JAM
SECONDARY SCREEN,PANEL
,
CBC-2,SKIRT RUBBER
CBC-2,SKIRT RUBBER
,
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
,
FEED HOPPER,LEVEL LOW
CBC-5,HIGH CURRENT
FEED HOPPER,LEVEL LOW
CBC-8,PULL CORD
,
SECONDARY SCREEN,PANEL
,
CBC-3,OVERLOAD
CBC-2,PATCH UP
CBC-2,PATCH UP
,
SECONDARY SCREEN,PANEL
CBC-2,JAM
CBC-5,JAM
CBC-5,JAM
CBC-5,JAM
SCALPING SCREEN,RAIL BAR
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
CBC-4,PATCH UP
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
PRIMARY SCREEN,INSPECTION
PRIMARY SCREEN,INSPECTION
PRIMARY SCREEN,INSPECTION
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
CONE CRUSHER,HIGH CURRENT
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CONE CRUSHER,DRIVE BELT
CONE CRUSHER,DRIVE BELT
CONE CRUSHER,DRIVE BELT
CONE CRUSHER,DRIVE BELT
,
,
SILO BIN,LEVEL HIGH
CBC-8,JAM
,
SCALPING SCREEN,RAIL BAR
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
CBC-4,PATCH UP
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
PRIMARY SCREEN,INSPECTION
PRIMARY SCREEN,INSPECTION
PRIMARY SCREEN,INSPECTION
BP,MECHANICAL MAINTENANCE
BP,MECHANICAL MAINTENANCE
BP,MECHANICAL MAINTENANCE
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CONE CRUSHER,DRIVE BELT
CONE CRUSHER,DRIVE BELT
CONE CRUSHER,DRIVE BELT
CONE CRUSHER,DRIVE BELT
,
,
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
,
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
,
CBC-3,TRIPPED
,
SECONDARY SCREEN,PANEL
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
FEED HOPPER,LEVEL LOW
SILO BIN,LEVEL LHIGH
,
SCALPING SCREEN,RAIL BAR
SECONDARY SCREEN,PANEL
JAW CRUSHER,JAM
JAW CRUSHER,JAM
,
,
SECONDARY SCREEN,PANEL
SILO BIN,LEVEL HIGH
CBC-5,HIGH CURRENT
SECONDARY SCREEN,PANEL
,
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SCALPING SCREEN,RAIL BAR
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
CBC-6,INSPECTION
SILO BIN,LEVEL HIGH
,
,
FEED HOPPER,LEVE LOW
CBC-3,HEAD PULLY
PRIMARY SCREEN,JAM
PRIMARY SCREEN,JAM
PRIMARY SCREEN,JAM
PRIMARY SCREEN,JAM
RAIN FALL,RAIN FALL
FEED HOPPER,LEVE LOW
FEED HOPPER,LEVE LOW
,
SECONDARY SCREEN,PANEL
PRIMARY SCREEN,JAM
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
SCALPING SCREEN,RAIL BAR
,
,
,
,
CBC-5,HIGH CURRENT
SECONDARY SCREEN,PANEL
LAUNDRER,JAM
LAUNDRER,JAM
,
LAUNDRER,JAM
CONE CRUSHER,HIGH CURRENT
CBC-4,SKIRT RUBBER
CBC-3,PULL CORD
FEED HOPPER,LEVEL LOW
CBC-3,OVERLOAD
CONE CRUSHER,TRIPPED
CONE CRUSHER,TRIPPED
SILO BIN,LEVEL HIGH
SECONDARY SCREEN,PANEL
CONE CRUSHER,TRIPPED
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SECONDARY SCREEN,PANEL
CBC-4,PATCH UP
CBC-4,PATCH UP
CBC-4,PATCH UP
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
BP,MECHANICAL MAINTENANCE
BP,MECHANICAL MAINTENANCE
BP,MECHANICAL MAINTENANCE
BP,MECHANICAL MAINTENANCE
BP,MECHANICAL MAINTENANCE
CBC-2,TRACKING
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
FEED HOPPER,LEVEL LOW
SILO BIN,LEVEL HIGH
,
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
SILO BIN,LEVEL HIGH
CONE CRUSHER,TRIPPED
CBC-2,JAM
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVELOW
CBC-3,SNUB PULLY
CBC-3,JAM
FEED HOPPER,LEVEL LOW
CBC-3,JAM
CBC-3,PATCH UP
WORKERS UNION,MEETING
WORKERS UNION,MEETING
WORKERS UNION,MEETING
WORKERS UNION,MEETING
WORKERS UNION,MEETING
WORKERS UNION,MEETING
CBC-1,JAM
CONE CRUSHER,TRIPPED
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CONE CRUSHER,HIGH CURRENT
SECONDARY SCREEN,PANEL
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SECONDARY SCREEN,PANEL
SECONDARY SCREEN,PANEL
,
SECONDARY SCREEN,PANEL
CBC-3,PATCH UP
CBC-3,PATCH UP
CBC-3,PATCH UP
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
CBC-8,TRIPPED
CBC-2,SKIRT RUBBER
CONE CRUSHER,TRIPPED
CONE CRUSHER,TRIPPED
SILO BIN,LEVEL HIGH
JAW CRUSHER,WELDING
,
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
CBC-4,PATCH UP
CBC-4,PATCH UP
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
DOUBLE DECK,PANEL
DOUBLE DECK,PANEL
DOUBLE DECK,PANEL
DOUBLE DECK,PANEL
DOUBLE DECK,PANEL
DOUBLE DECK,PANEL
DOUBLE DECK,PANEL
DOUBLE DECK,PANEL
BLADE MILL,TRIPPED
JAW CRUSHER,JAM
BBC-1,IDLER
CBC-2,BELT
SECONDARY SCREEN,PANEL
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
PRIMARY SCREEN,PANEL
,
SILO BIN,LEVEL HIGH
CBC-3 ,JAM
FEED HOPPER,LEVEL LOW
CBC-3,SNUB PULLY
CBC-4,SNUB PULLY
POWER,RESTRICTION
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
SURGE BIN,LEVEL HIGH
SECONDARY SCREEN,PANEL
BBC-1,IDLER
BBC-2,IDLER
PRIMARY SCREEN,PATCH UP
PRIMARY SCREEN,PATCH UP
CBC-3,IDLER
SECONDARY SCREEN,PANEL
,
SILO BIN,LEVEL HIGH
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
,
CBC-5,SKIRT RUBBER
,
FEED HOPPER,LEVEL LOW
SILO BIN,LEVEL HIGH
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
SECONDARY SCREEN,PANEL
FEED HOPPER,LEVEL HIGH
,
SECONDARY SCREEN,PANEL
SECONDARY SCREEN,PANEL
CBC-4,SKIRT RUBBER
,
,
,
CBC-5,HIGH CURRENT
LAUNDER,JAM
DD,PANEL
DD,PANEL
SECONDARY SCREEN,PANEL
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
AT-1 & AT-2,LEVEL HIGH
AT-1 & AT-2,LEVEL HIGH
CBC-2,SKIRT RUBBER
CBC-2,SKIRT RUBBER
CBC-2,SKIRT RUBBER
CBC-2,SKIRT RUBBER
,
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
MECHANICAL MAINTENANCE,MECHANICAL MAINTENANCE
SECONDARY SCREEN,PANEL
,
,
SECONDARY SCREEN,PANEL
CBC-5,TRACKING
,
,
SECONDARY SCREEN,PANEL
,
PRIMARY SCREEN,JAM
PRIMARY SCREEN,JAM
PRIMARY SCREEN,PATCH UP
PRIMARY SCREEN,PATCH UP
PRIMARY SCREEN,PATCH UP
PRIMARY SCREEN,PATCH UP
PRIMARY SCREEN,PATCH UP
PRIMARY SCREEN,PATCH UP
PRIMARY SCREEN,PATCH UP
JAW CRUSHER,BOLT
JAW CRUSHER,BOLT
,
CBC-7,PULL CORD
SILO BIN,LEVEL HIGH
FEED HOPPER,LEVEL LOW
,
SECONDARY SCREEN,PANEL
,
,
CBC-4,PATCH UP
CBC-4,PATCH UP
,
,
CONE CRUSHER,TRIPPED
SECONDARY SCREEN,PANEL
CBC-3,SNUB PULLY
CBC-3,SNUB PULLY
FEED HOPPER,LEVEL LOW
SECONDARY SCREEN,PANEL
CBC-7A,SKIRT RUBBER
CBC-7A,SKIRT RUBBER
CBC-7A,SKIRT RUBBER
CBC-2,RAIL BAR
SCALPING SCREEN,RAIL BAR
SCALPING SCREEN,RAIL BAR
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
SILO BIN,LEVEL HIGH
CONE CRUSHER,HIGH CURRENT
CONE CRUSHER,HIGH CURRENT
SCALPING SCREEN,RAIL BAR
SCALPING SCREEN,RAIL BAR
SCALPING SCREEN,RAIL BAR
CBC-4,TRIMMING
FEED HOPPER,LEVEL LOW
CONE CRUSHER,HIGH CURRENT
CONE CRUSHER,HIGH CURRENT
CBC-3,JAM
CBC-3,JAM
CBC-3,JAM
CBC-3,JAM
CBC-3,JAM
SURGE BIN,LEVEL HIGH
SCALPING SCREEN,RAIL BAR
SCALPING SCREEN,RAIL BAR
SCALPING SCREEN,RAIL BAR
FEED HOPPER,LEVEL LOW
SURGE BIN,LEVEL HIGH
CONE CRUSHER,HIGH CURRENT
CONE CRUSHER,HIGH CURRENT
SURGE BIN,LEVEL HIGH
CBC-4,INSPECTION
JAW CRUSHER,JAM
CBC-4,PATCH UP
CBC-4,PATCH UP
,
,
,
CBC-4,PATCH UP
CONE CRUSHER,PRESSURE PUMP
PRIMARY SCREEN,JAM
FEED HOPPER,LEVEL LOW
FEED HOPPER,LEVEL LOW
CONE CRUSHER,HIGH CURRENT
